Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents),Latitude,Longitude
 GENTIVA," 7315 LEE HIGHWAY, SUITE 131",CHATTANOOGA,TN,37421,100.0,0.0,0.0,1.0,0.0,61.5,10.0,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,33.3,10.7,Not Available,"11,350",5.8,100,35.030496,-85.14578
 GUARDIAN HOME CARE LLC,612 W NOLANA AVE SUITE 570-B1,MCALLEN,TX,78504,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,26.271965,-98.23657
 HANOVER HOSPICE ,10 NORTH MAIN STREET,FALL RIVER,MA,02720,100.0,0.0,0.0,0.2,0.0,84.8,8.0,38.6,96.8,100.0,100.0,Not Available,96.8,100.0,28.6,9.4,Not Available,"22,714",3.5,93.8,41.72505,-71.121329
1 CARE HOSPICE RENO,300 S WELLS AVE,RENO,NV,89502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39.491314,-119.743845
"1 HEART HOSPICE AND PALLIATIVE CARE, INC",23720 ARLINGTON AVE SUITE 4B,TORRANCE,CA,90501,100.0,11.5,1.9,0.9,7.7,31.8,9.0,14.7,100.0,100.0,100.0,100.0,100.0,100.0,63.5,16.6,100.0,"26,471",6.2,98.0,33.833744,-118.314022
1 LAUREL HIGHLANDS HOSPICE CARE,970 FRANKLIN STREET,JOHNSTOWN,PA,15905,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.290655,-78.969943
1CARE HOSPICE ARIZONA,8687 E VIA DE VENTURE STE 111,SCOTTSDALE,AZ,85258,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.564295,-111.895881
1ST CARE HOSPICE INC,425 MAIN STREET,SOUTH BOSTON,VA,24592,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.675795,-78.965555
1ST CHOICE HOME HEALTH,10662 VISTA DEL SOL,EL PASO,TX,79935,100.0,16.7,5.6,0.0,0.0,68.5,5.0,34.8,94.6,94.6,100.0,100.0,100.0,100.0,44.4,6.9,Not Available,"21,811",4.1,73.6,31.767715,-106.329332
1ST CHOICE HOSPICE CARE,"1211 N SHARTEL AVENUE, SUITE 905B",OKLAHOMA CITY,OK,73103,Not Available,14.8,0.0,0.0,7.4,39.6,9.0,23.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.0,12.9,Not Available,"11,099",5.7,89.7,35.489073,-97.518909
1ST CHOICE HOSPICE CARE,22320 FOOTHILL BLVD.,HAYWARD,CA,94541,Not Available,11.8,0.0,0.0,5.9,48.6,8.0,70.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.9,12.4,Not Available,"28,750",18.0,100,37.673945,-122.084821
1ST CHOICE HOSPICE LLC,3001 OLD HOUSTON ROAD,HUNTSVILLE,TX,77340,90.9,26.1,8.7,0.0,4.3,80.7,5.0,47.4,78.2,98.2,Not Available,90.6,100.0,100.0,56.5,15.4,Not Available,"27,555",3.0,89.6,30.6402,-95.538432
1ST QUALITY HOSPICE LLC,716 WEST BLUFF STREET,WOODVILLE,TX,75979,100.0,6.5,0.0,0.0,2.2,74.7,9.0,15.7,85.7,98.0,97.1,81.5,100.0,100.0,58.7,8.8,Not Available,"23,897",4.7,82.0,30.748559,-94.38912
"1ST RESPONSE HOSPICE, INC",421 ARDEN AVE,GLENDALE,CA,91203,100.0,6.4,2.1,1.1,6.4,17.5,9.0,Not Available,90.9,100.0,100.0,96.4,100.0,100.0,48.9,22.4,Not Available,"27,008",11.2,82.4,34.153338,-118.262974
24 CARE HOSPICE,1800 BROADVIEW DR,GLENDALE,CA,91208,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.185666,-118.239494
"24-7 QUALITY HOSPICE CARE, INC","2659 TOWNSGATE ROAD, SUITE #128",WESTLAKE VILLAGE,CA,91361,Not Available,0.0,0.0,0.5,5.6,0.0,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,66.7,19.5,Not Available,"16,010",3.4,100,34.136077,-118.888919
24/7 APOLLO HOSPICE AND PALLIATIVE CARE,"2850 W HORIZON RIDGE PARKWAY, STE 200",HENDERSON,NV,89052,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.955108,-115.056693
24/7 CARE AT HOME - HOSPICE,337 NORTH VINEYARD AVE. SUITE 338,ONTARIO,CA,91764,100.0,4.2,8.3,0.2,25.0,61.7,8.0,18.5,95.8,100.0,Not Available,Not Available,100.0,100.0,37.5,14.2,Not Available,"16,153",5.5,90.9,34.074087,-117.605618
24/7 CARE AT HOME - HOSPICE,"8291 WESTMINSTER BLVD, SUITE 250B",WESTMINSTER,CA,92683,100.0,20.0,0.0,0.0,40.0,63.2,7.0,25.0,96.9,100.0,100.0,Not Available,100.0,100.0,20.0,13.9,Not Available,"15,350",7.1,89.7,33.752468,-117.993933
24/7 TEAM CARE HOSPICE,4225 VALLEY FAIR ST.,SIMI VALLEY,CA,93063,Not Available,4.3,4.3,1.6,13.0,80.0,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.5,5.7,Not Available,"34,058",8.4,66.7,34.308729,-118.687223
365 HOSPICE INC,8430 W LAKE MEAD BLVD STE 129,LAS VEGAS,NV,89128,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.196814,-115.264363
365 HOSPICE LLC,115 SOUTH MAIN STREET,CARROLLTOWN,PA,15722,99.8,3.9,1.3,0.0,5.8,52.2,9.0,44.3,95.5,99.8,94.5,100.0,98.0,100.0,45.8,17.2,97.4,"9,503",9.1,94.8,40.595071,-78.724558
365 HOSPICE LLC,220 REGENT COURT SUITE E2,STATE COLLEGE,PA,16801,100.0,3.7,3.7,0.0,6.2,41.2,9.0,52.2,92.6,100.0,98.6,100.0,93.3,100.0,44.4,15.7,100.0,"8,819",9.2,91.6,40.778883,-77.841371
365 HOSPICE LLC - MONROEVILLE,2549 MOSSIDE BOULEVARD,MONROEVILLE,PA,15146,98.6,7.1,0.0,0.0,8.6,63.8,8.0,44.7,95.7,100.0,89.7,100.0,100.0,100.0,61.4,16.5,100.0,"12,146",8.5,91.5,40.426328,-79.761358
3HC,1367 WALTER REED ROAD STE 102,FAYETTEVILLE,NC,28304,98.8,0.0,2.1,0.4,12.5,32.1,10.0,53.6,94.1,100.0,95.7,100.0,98.8,100.0,45.8,13.6,95.8,"18,980",6.2,97.2,35.025528,-78.989604
3HC,2402 WAYNE MEMORIAL DRIVE ,GOLDSBORO,NC,27534,96.9,7.4,3.9,3.6,7.1,36.8,10.0,67.5,91.0,99.5,97.8,89.1,99.5,99.8,39.6,13.6,95.1,"13,678",11.6,97.6,35.373478,-77.896666
5 STAR HOSPICE,269 W ALAMEDA AVE SUITE F,BURBANK,CA,91502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.176817,-118.309323
"5 STAR HOSPICE, LLC","4220 CARTWRIGHT RD, STE 304",MISSOURI CITY,TX,77459,Not Available,0.0,0.0,0.0,10.5,100,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.1,0.0,Not Available,"22,332",0.0,10.0,29.529038,-95.523532
"7 ANGELES HOSPICE, INC",14545 FRIAR ST SUITE 303,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178522,-118.459234
"7 HOSPICE CARE, INC.",5658 SEPULVEDA BLVD,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178522,-118.459234
7 STAR HOSPICE CARE INC,1264 S WATERMAN AVE,SAN BERNARDINO,CA,92408,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.083458,-117.270016
@HEART HOSPICE,346 SOUTHPORT CIRCLE,VIRGINIA BEACH,VA,23452,98.4,20.7,6.9,0.0,20.7,48.3,7.0,63.1,96.8,100.0,100.0,100.0,98.4,100.0,24.1,9.8,Not Available,"17,868",9.3,91.8,36.845756,-76.092807
A & C HEALTH CARE UNLIMITED LLC,"1687 ERRINGER ROAD, SUITE #211",SIMI VALLEY,CA,93065,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.258405,-118.775026
"A & E HOSPICE CARE, INC.","2920 W OLIVE AVE, SUITE 214",BURBANK,CA,91505,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.173885,-118.346937
"A & R HOSPICE AND PALLIATIVE CARE, INC",16830 VENTURA BLVD SUITE 355,ENCINO,CA,91436,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.149588,-118.489708
A & S HOSPICE AND PALLIATIVE CARE LLC,6776 SOUTHWEST FREEWAY STE 631,HOUSTON,TX,77074,Not Available,4.0,4.0,0.0,0.0,59.6,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.0,8.4,Not Available,"22,608",4.6,33.3,29.687947,-95.515725
A & Z HEALTH CARE LLC,"1225 25TH ST. N, SUITE 300B",TEXAS CITY,TX,77590,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.391397,-94.920149
A AND B HOSPICE INC,"3275 WEST INA ROAD, SUITE 115",TUCSON,AZ,85741,Not Available,0.0,3.3,0.0,0.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.7,5.7,Not Available,"18,873",2.8,Not Available,32.335291,-111.041759
"A AND S HOSPICE PALLIATIVE CARE, INC.",1425 W BURBANK BLVD.,BURBANK,CA,91506,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.3,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.169706,-118.323548
A BETTER HOSPICE,10777 WESTHEIMER RD,HOUSTON,TX,77042,100.0,16.7,2.1,0.1,6.3,90.5,7.0,14.3,83.7,100.0,81.0,Not Available,97.7,100.0,41.7,8.2,Not Available,"24,731",3.9,80.8,29.741325,-95.560254
A BLISS HOSPICE CARE,140 E RIDGEWOOD COURT,SAN ANTONIO,TX,78212,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.464611,-98.493653
A BRIDGE HOME LLC,1201 FALLS AVE E ,TWIN FALLS ,ID,83301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.400555,-114.524876
"A BRIGHTSTART SERVICES, INC",7402 LAKE RIDGE PKWY APT# 3211,GRAND PRAIRIE,TX,75052,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.664953,-97.024692
"A C HOSPICE, INC","3756 SANTA ROSALIA DRIVE, SUITE 520C",LOS ANGELES,CA,90008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.009552,-118.346724
