Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents)
 GENTIVA," 7315 LEE HIGHWAY, SUITE 131",CHATTANOOGA,TN,37421,100.0,0.0,0.0,1.0,0.0,61.5,10.0,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,33.3,10.7,Not Available,"11,350",5.8,100
 GUARDIAN HOME CARE LLC,612 W NOLANA AVE SUITE 570-B1,MCALLEN,TX,78504,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
 HANOVER HOSPICE ,10 NORTH MAIN STREET,FALL RIVER,MA,2720,100.0,0.0,0.0,0.2,0.0,84.8,8.0,38.6,96.8,100.0,100.0,Not Available,96.8,100.0,28.6,9.4,Not Available,"22,714",3.5,93.8
1 CARE HOSPICE RENO,300 S WELLS AVE,RENO,NV,89502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"1 HEART HOSPICE AND PALLIATIVE CARE, INC",23720 ARLINGTON AVE SUITE 4B,TORRANCE,CA,90501,100.0,11.5,1.9,0.9,7.7,31.8,9.0,14.7,100.0,100.0,100.0,100.0,100.0,100.0,63.5,16.6,100.0,"26,471",6.2,98.0
1 LAUREL HIGHLANDS HOSPICE CARE,970 FRANKLIN STREET,JOHNSTOWN,PA,15905,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1CARE HOSPICE ARIZONA,8687 E VIA DE VENTURE STE 111,SCOTTSDALE,AZ,85258,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1ST CARE HOSPICE INC,425 MAIN STREET,SOUTH BOSTON,VA,24592,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1ST CHOICE HOME HEALTH,10662 VISTA DEL SOL,EL PASO,TX,79935,100.0,16.7,5.6,0.0,0.0,68.5,5.0,34.8,94.6,94.6,100.0,100.0,100.0,100.0,44.4,6.9,Not Available,"21,811",4.1,73.6
1ST CHOICE HOSPICE CARE,"1211 N SHARTEL AVENUE, SUITE 905B",OKLAHOMA CITY,OK,73103,Not Available,14.8,0.0,0.0,7.4,39.6,9.0,23.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.0,12.9,Not Available,"11,099",5.7,89.7
1ST CHOICE HOSPICE CARE,22320 FOOTHILL BLVD.,HAYWARD,CA,94541,Not Available,11.8,0.0,0.0,5.9,48.6,8.0,70.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.9,12.4,Not Available,"28,750",18.0,100
1ST CHOICE HOSPICE LLC,3001 OLD HOUSTON ROAD,HUNTSVILLE,TX,77340,90.9,26.1,8.7,0.0,4.3,80.7,5.0,47.4,78.2,98.2,Not Available,90.6,100.0,100.0,56.5,15.4,Not Available,"27,555",3.0,89.6
1ST QUALITY HOSPICE LLC,716 WEST BLUFF STREET,WOODVILLE,TX,75979,100.0,6.5,0.0,0.0,2.2,74.7,9.0,15.7,85.7,98.0,97.1,81.5,100.0,100.0,58.7,8.8,Not Available,"23,897",4.7,82.0
"1ST RESPONSE HOSPICE, INC",421 ARDEN AVE,GLENDALE,CA,91203,100.0,6.4,2.1,1.1,6.4,17.5,9.0,Not Available,90.9,100.0,100.0,96.4,100.0,100.0,48.9,22.4,Not Available,"27,008",11.2,82.4
24 CARE HOSPICE,1800 BROADVIEW DR,GLENDALE,CA,91208,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"24-7 QUALITY HOSPICE CARE, INC","2659 TOWNSGATE ROAD, SUITE #128",WESTLAKE VILLAGE,CA,91361,Not Available,0.0,0.0,0.5,5.6,0.0,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,66.7,19.5,Not Available,"16,010",3.4,100
24/7 APOLLO HOSPICE AND PALLIATIVE CARE,"2850 W HORIZON RIDGE PARKWAY, STE 200",HENDERSON,NV,89052,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
24/7 CARE AT HOME - HOSPICE,337 NORTH VINEYARD AVE. SUITE 338,ONTARIO,CA,91764,100.0,4.2,8.3,0.2,25.0,61.7,8.0,18.5,95.8,100.0,Not Available,Not Available,100.0,100.0,37.5,14.2,Not Available,"16,153",5.5,90.9
24/7 CARE AT HOME - HOSPICE,"8291 WESTMINSTER BLVD, SUITE 250B",WESTMINSTER,CA,92683,100.0,20.0,0.0,0.0,40.0,63.2,7.0,25.0,96.9,100.0,100.0,Not Available,100.0,100.0,20.0,13.9,Not Available,"15,350",7.1,89.7
